,id,type,title,description,lat,lng,city,state,day,order,imageUrl,upgraded,status,isMutable,isNianticControlled,statement,canAppeal,appealResolved,isClosed,appealNotes,userAppealNotes,canHold,canReleaseHold,poiData_id,poiData_imageUrl,poiData_title,poiData_description,poiData_lat,poiData_lng,poiData_city,poiData_state,poiData_lastUpdateDate,poiData_reason,poiData_0,poiData_1,poiData_2,poiData_3,poiData_4,poiData_5,poiData_6,poiData_7,poiData_8,poiData_9,poiData_10,poiData_11,poiData_12,poiData_13,poiData_14,poiData_15,poiData_16,poiData_17,poiData_18,poiData_19,poiData_20,poiData_21,poiData_22,poiData_23,poiData_24,poiData_25,poiData_26,poiData_27,poiData_28,poiData_29,poiData_30,poiData_31,poiData_32,poiData_33,poiData_34,poiData_35,poiData_36,poiData_37,poiData_38,poiData_39,poiData_40,poiData_41,poiData_42,poiData_43,poiData_44,poiData_45,poiData_46,poiData_47,poiData_48,poiData_49,poiData_50,poiData_51,poiData_52,poiData_53,poiData_54,poiData_55,poiData_56,poiData_57,poiData_58,poiData_59,poiData_60,poiData_61,poiData_62,poiData_63,poiData_64,poiData_65,poiData_66,poiData_67,poiData_68,poiData_69,poiData_70,poiData_71,poiData_72,poiData_73,poiData_74,poiData_75,poiData_76,poiData_77,poiData_78,poiData_79,poiData_80,poiData_81,poiData_82,poiData_83,poiData_84,poiData_85,poiData_86,poiData_87,poiData_88,poiData_89,poiData_90,poiData_91,poiData_92,poiData_93,poiData_94,poiData_95,poiData_96,poiData_97,poiData_98,poiData_99,poiData_100,poiData_101,poiData_102,poiData_103,poiData_104,poiData_105,poiData_106,poiData_107,poiData_108,poiData_109,poiData_110,poiData_111,poiData_112,poiData_113,poiData_114,poiData_115,poiData_116,poiData_117,poiData_118,poiData_119,poiData_120,poiData_121,poiData_122,poiData_123,poiData_124,poiData_125,poiData_126,poiData_127,poiData_128,poiData_129,poiData_130,poiData_131,poiData_132,poiData_133,poiData_134,poiData_135,poiData_136,poiData_137,poiData_138,poiData_139
0,VQ5TBQRSDwIFVVcBBFkCBVoEAAcHD1VUB1MGVQUFUgZLBwI=,EDIT_DESCRIPTION,,The Residential Commons foot tunnel connects the Residential Commons and University Commons residence halls with the rest of the Missouri University of Science and Technology campus.,37.95538,-91.776857,UNREGISTERED,UNREGISTERED,2018-01-28,,,,ACCEPTED,,,,,,,,,,,XQ8FUAdRUFEDVgZSBAgBBQFVUlYHClUAD1RRAwwEBFRLBwY=,https://lh3.googleusercontent.com/SchpnoDiJeU4dUT7h6ACzw4mQAA9qayQMg2LKT5pJe2VmfkEyFa29PHdD1Vc4LECAaZG1YMK8IFOtU4A_JrRyOvxUmk,R.C. Tunnel Murals,The Residential Commons foot tunnel connects the Residential Commons and University Commons residence halls with the rest of the Missouri University of Science and Technology campus.,37.95538,-91.776857,,LIVE,"May 24, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AVQDAQBXBlUAUgRdBAABBwABUVUACVYFUwVXBg0ABAFLBwI=,EDIT_DESCRIPTION,,Decorative fountain structure located on the Missouri S&T campus.,37.955088,-91.774738,UNREGISTERED,UNREGISTERED,2018-01-28,1.0,,,ACCEPTED,,,,,,,,,,,Vg8FVFNTD1UCAwVRBAABVgFWUgRTClcCVQEBAAQFU11LBwE=,https://lh3.googleusercontent.com/e9c_H8RWDVYQu2yVjT6hQILbv7BgJAq9rvpECm8uqueLY5OgzD3jGIXSziEyhk0eUIvvuiOK6i8zX_vh9Sjtr18bnSql,Pillars of Thought,Decorative fountain structure located on the Missouri S&T campus.,37.955088,-91.774738,,LIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Uw8EVVQDAFRXVwVXBFkHVgAKUgcLXlVTDlJXAwQABgRLBwcD,EDIT_LOCATION,,,33.509515,-86.809866,UNREGISTERED,UNREGISTERED,2020-03-29,537.0,,,ACCEPTED,,,,,,,,,,,UVQDBwQEBgQFAVEGBA5UBwBRBwNTDFIADwUFAFVSWwFLBwE=,https://lh3.googleusercontent.com/hTww9Q3XxZU3asadZSgX5CfhbxvEcjJ2Xa2KV3kASyWX1dc9kM2GKEFEWSIypgj2qNpHbbw0n3id2nEZy7uK2mEuqQ,Play,"It is in our nature to enjoy play. Games and free play challenge our skills, imagination, teamwork, and focus. The sweeping central lawn encourages you to enjoy the activity of your choice, from a game of touch football to Frisbee.",33.509515,-86.809866,Birmingham,LIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Uw5UVFRUUgNXAVEBBApVBQFQVV8CCAVUAFUAU1FVVAFLBwcD,EDIT_LOCATION,,,33.386522,-86.790046,UNREGISTERED,UNREGISTERED,2020-04-07,571.0,,,ACCEPTED,,,,,,,,,,,UlUOB1NUV1YLUVBcBA1SB1oBDwQBCgYCBwdTVlEGA1NLBwE=,https://lh3.googleusercontent.com/ksHI-KoITLj9Q4_WgfKDhvurSyg05mAh4Vaq45EuqjoGj9oTwN2a9pt65BkvCjiSZh7FwtGSuDuE_2m8kmKkXFulWw,Jim Johnson Memorial Bench,,33.386522,-86.790046,Birmingham,LIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,XQQHBgYHAQlQAQcFBAoBUwAABABTXQBYVgRQA1EFVFVLBwcD,EDIT_LOCATION,,,33.186218,-86.830458,UNREGISTERED,UNREGISTERED,2020-05-02,664.0,,,ACCEPTED,,,,,,,,,,,BAcOVAMFVQUEAVZSBFsCUQBQBl4CXlZXBQMGAFIHUV1LBwE=,https://lh3.googleusercontent.com/rodheUhzOOIu_04ZsZg1C1gY0skqR0Oyg0FJbWzhByzltWq5RoVYmeCvrxYASqxPsnVc0GDwtYH9b418agfhej0cUAxt,Veterans Park Batting Cage,"This second set of batting cages is located near the back of the park, behind the back parking lot. They were added to offer more available batting practice space for young baseball players.",33.186218,-86.830458,,LIVE,"May 22, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,XAJTBVJWAVQGAQFUBFsCUwEEU18KDVZXAwRWU1FSVFdLBwcC,EDIT_TITLE,S'Marblous,,42.150765,-77.054036,UNREGISTERED,UNREGISTERED,2021-11-23,1344.0,,,REJECTED,,,,True,,,,,,,UQEDBQ5ZAlZSUQxTBAwHAQADVlEAWg1VAwRWVw0DVlVLBwE=,https://lh3.googleusercontent.com/Rl_5qmMtUdpnZe4nd12rTWenJV8zDwGcIPn0sGVfukkxjrEtxFWcO-7z2t04OvDZSADcNT8wxhVJJKm8V4_nrSBN8HM,Marble Machine,George Rhoads audiokinetic sculpture at the Corning Glass Museum,42.150765,-77.054036,,LIVE,"Apr 19, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,XQQBVAJYUgYFAwcHBA9SAloKUgcHCFFTU1QEA1YAVldLBwcC,EDIT_DESCRIPTION,,"-Dear reviewer, please move this waypoint to the west to its proper location-",33.490782,-86.806932,UNREGISTERED,UNREGISTERED,2022-01-23,1444.0,,,REJECTED,,,,True,,,,,,,VlUBBlRRUgdXUlMBBAhUAllRAVBWAAYCAQIEWlUAAwNLBwE=,https://lh3.googleusercontent.com/Vyug-AU5H-v_bMZ4UK0r-fTnrovSrqawMo_QJMVoy8DumKYSU-BwOElocNsJkWXfKbQmIkU3xqQM4Zugpa2I49EwrI2R,Wilber Historical Structure,"Recognized by the Jefferson County Historical Commission as a historical structure in the city of Birmingham, AL.",33.490775,-86.806975,Birmingham,LIVE,"Jun 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,VQQAUwIHVQVVVFZQBA5QUVpVU1AKCVAED1QEA1cIBldLBwcC,EDIT_TITLE,Loser Camp No. 1435,,33.55099,-86.75116,UNREGISTERED,UNREGISTERED,2022-03-20,1639.0,,,REJECTED,,,,True,,,,,,,VwIEUgdSBFQFUAJVBAxUUgBSAFFRWQxRBVFTVlIBAVBLBwU=,https://lh3.googleusercontent.com/M_2LYJcu_o3f1cPEGfbuPntSOBK4F_oJLrAGoU2m9YvFH9b-UA0PBhbtK2bWaRTRB81dJOBzPFCXyZ7oCd7YegxHKg,Forrest Camp No. 1435,"We salute the Confederate soldier with affection, reverence, and undying devotion to the cause for which he fought.",33.55099,-86.75116,,LIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,UAZRVw9SBgQEVFNUBAkCVABWVF8FXAVUUwIAAAxSAVxLBwcC,EDIT_DESCRIPTION,,"This is a disgusting memorial to the Confederacy, traitors to America and promoters of slavery and the oppression of others. Specifically, this memorial references Nathan Bedford Forrest, general of the Confederacy, and original Grand Wizard of the ΚΚΚ. This evil man, whose actions contributed to the deaths of many, deserves no praise.",33.55099,-86.75116,UNREGISTERED,UNREGISTERED,2022-03-20,1640.0,,,REJECTED,,,,True,,,,,,,VwIEUgdSBFQFUAJVBAxUUgBSAFFRWQxRBVFTVlIBAVBLBwU=,https://lh3.googleusercontent.com/M_2LYJcu_o3f1cPEGfbuPntSOBK4F_oJLrAGoU2m9YvFH9b-UA0PBhbtK2bWaRTRB81dJOBzPFCXyZ7oCd7YegxHKg,Forrest Camp No. 1435,"We salute the Confederate soldier with affection, reverence, and undying devotion to the cause for which he fought.",33.55099,-86.75116,,LIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,V1UEAVBTUFIEUwEGBAgEAQAEAVFRXANZBwVRUAYAUFdLBwcC,EDIT_DESCRIPTION,,"Dear reviewer, please move this waypoint east/right to a more accurate location.",33.198649,-87.543296,UNREGISTERED,UNREGISTERED,2022-05-28,1853.0,,,REJECTED,,,,True,,,,,,,UwUOUwFVAgILAAwGBF1QUwALVVEBCgwCVgADU1ZSUwBLBwE=,https://lh3.googleusercontent.com/9uIVTlk8n1U2d2EcusAhdasDK47_yz-PCyExDYYMzknkm-H9R3U-Zh4zgOq5wDaqA8vyl0gFINMGTzSKf97om8maTxAr,Monnish Park,,33.198644,-87.543286,Tuscaloosa,LIVE,"Jun 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
