state_city,ACCEPTED,REJECTED,WITHDRAWN
AL-BIRMINGHAM,121,38,0
MA-WORCESTER,16,45,0
AL-HOMEWOOD,12,3,0
AL-HOOVER,11,2,0
UNREGISTERED-UNREGISTERED,9,6,0
MO-CHESTERFIELD,9,4,0
MO-SAINT JAMES,9,12,0
MO-ROLLA,8,70,0
MO-ST. LOUIS,7,3,0
MA-LINCOLN,4,0,0
NY-HORSEHEADS,4,1,0
AL-TRUSSVILLE,4,1,0
MA-SALEM,3,0,0
AL-MARION,3,1,0
AL-SELMA,3,6,0
AL-MONTEVALLO,3,1,0
AL-BESSEMER,3,0,0
MA-BOYLSTON,2,0,0
MA-ROCKPORT,2,0,0
MA-RUTLAND,2,0,0
MO-SAINT LOUIS,2,0,0
RI-NEWPORT,2,0,0
WA-LEAVENWORTH,2,0,0
MA-MARLBOROUGH,2,0,0
MO-CREVE COEUR,2,1,0
AL-SPROTT,2,1,0
AL-PELHAM,2,1,0
AL-IRONDALE,2,4,0
AL-ALABASTER,1,1,0
AL-MOUNDVILLE,1,1,0
AL-FAIRFIELD,1,0,0
AL-BRIERFIELD,1,0,0
AL-CENTREVILLE,1,0,0
MA-MANSFIELD,1,0,0
MA-HUDSON,1,0,0
MA-HOLDEN,1,0,0
MA-HINGHAM,1,0,0
MA-FITCHBURG,1,0,0
MA-FRAMINGHAM,1,0,0
MA-CLINTON,1,0,0
MA-CAMBRIDGE,1,0,0
AL-TUSCALOOSA,1,0,0
MA-BOSTON,1,0,0
IN-RICHMOND,1,0,0
AL-WEST BLOCTON,1,0,0
AL-VESTAVIA HILLS,1,2,0
AL-MONTGOMERY,1,1,0
AL-MORGAN SPRINGS,1,0,0
MA-NAHANT,1,0,0
MO-MINER,1,0,0
MO-BALLWIN,1,0,0
MA-WEBSTER,1,2,0
MA-SHREWSBURY,1,0,0
MA-PAXTON,1,0,0
MA-NATICK,1,0,0
MO-SAINT ROBERT,1,2,0
MO-UNREGISTERED,1,0,0
RI-PROVIDENCE,1,0,0
PA-LEHIGHTON,1,0,0
NH-HUDSON,1,0,0
NY-BIG FLATS,1,0,0
NY-CORNING,0,2,0
MO-ST. JAMES,0,2,0
NY-ELMIRA,0,3,0
TN-DYERSBURG,0,2,0
